Type	Date	Message
ham	12/05/17	Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
ham	25/10/17	Ok lor but not too early. Me still having project meeting now.
ham	20/02/17	Call me da, i am waiting for your call.
ham	08/03/17	I could ask carlos if we could get more if anybody else can chip in
ham	02/08/17	Was actually about to send you a reminder today. Have a wonderful weekend
ham	26/02/17	When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL
ham	26/03/17	Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? 
ham	05/02/17	Dont talk to him ever ok its my word.
ham	01/02/17	When u wana see it then
ham	16/09/17	On ma way to school. Can you pls send me ashley's number
ham	02/01/17	It shall be fine. I have avalarr now. Will hollalater
ham	24/04/17	She went to attend another two rounds today..but still did't reach home..
ham	02/02/17	Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com
ham	17/08/17	K, wait chikku..il send aftr  &lt;#&gt; mins
ham	26/04/17	But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.
ham	14/11/17	K:)i will give my kvb acc details:)
ham	10/01/17	Oh all have to come ah?
spam	11/07/17	money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy
ham	14/07/17	I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
ham	11/05/17	Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go
ham	30/04/17	So do you have samus shoulders yet
ham	02/01/17	What time you think you'll have it? Need to know when I should be near campus
spam	31/07/17	Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.
ham	27/07/17	Then dun wear jeans lor...
ham	30/08/17	Since when, which side, any fever, any vomitin.
ham	09/02/17	K:)k.are you in college?
spam	06/07/17	Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+
ham	13/09/17	Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.
ham	09/07/17	No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham	26/03/17	Theyre doing it to lots of places. Only hospitals and medical places are safe.
spam	15/01/17	How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS)
ham	26/04/17	And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
ham	16/04/17	I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones
ham	03/04/17	I cant wait to see you! How were the photos were useful? :)
spam	17/01/17	Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham	15/11/17	Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging 
ham	11/04/17	Chk in ur belovd ms dict
ham	31/08/17	Is that what time you want me to come?
ham	30/08/17	Awesome, lemme know whenever you're around
ham	02/03/17	Shb b ok lor... Thanx...
ham	02/06/17	"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT"
ham	05/03/17	Also remember to get dobby's bowl from your car
spam	29/09/17	Filthy stories and GIRLS waiting for your
ham	07/11/17	Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...
ham	29/06/17	Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical
ham	27/03/17	Welp apparently he retired
ham	04/07/17	My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham	16/09/17	Where @
ham	18/05/17	U sure u can't take any sick time?
spam	30/01/17	URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
ham	19/07/17	Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?
ham	31/01/17	Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
ham	07/02/17	Are you this much buzy
ham	05/08/17	Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.
ham	30/08/17	I am not sure about night menu. . . I know only about noon menu
ham	15/04/17	What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.
ham	07/09/17	Are you willing to go for aptitude class.
ham	10/04/17	It wont b until 2.15 as trying 2 sort house out, is that ok?
ham	23/09/17	Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?
ham	24/03/17	Haha awesome, omw back now then
ham	25/09/17	Yup i thk so until e shop closes lor.
ham	25/01/17	what is your account number?
ham	20/04/17	Eh u send wrongly lar...
ham	15/10/17	Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya 
ham	14/06/17	Ok i shall talk to him
ham	16/10/17	Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
ham	19/09/17	Hey you can pay. With salary de. Only  &lt;#&gt; .
ham	19/09/17	Another month. I need chocolate weed and alcohol.
ham	09/11/17	If he started searching he will get job in few days.he have great potential and talent.
ham	03/06/17	Reckon need to be in town by eightish to walk from * carpark.
spam	25/06/17	Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.
ham	20/02/17	LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP
ham	02/04/17	Yo guess what I just dropped
ham	09/03/17	Carlos says he'll be at mu in  &lt;#&gt;  minutes
ham	13/02/17	I'm in office now . I will call you  &lt;#&gt;  min:)
ham	07/09/17	Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*
ham	01/02/17	Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn
ham	06/01/17	Ugh. Gotta drive back to sd from la. My butt is sore.
ham	14/10/17	I will once i get home
ham	15/09/17	Waaaat?? Lololo ok next time then!
ham	21/08/17	The table's occupied, I'm waiting by the tree
ham	30/07/17	I surely dont forgot to come:)i will always be in touch in with you:-)
ham	30/08/17	Hi kindly give us back our documents which we submitted for loan from STAPATI
ham	12/04/17	I dont have i shall buy one dear
ham	24/03/17	Oh god i am happy to see your message after 3 days
ham	28/05/17	What year. And how many miles.
ham	20/08/17	Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself. 
ham	26/06/17	Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!
ham	21/05/17	I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.
spam	17/07/17	FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+
ham	01/01/17	No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.
ham	22/01/17	Is she replying. Has boye changed his phone number
ham	14/07/17	1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)
ham	26/03/17	hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx
ham	27/08/17	Nothing really, just making sure everybody's up to speed
ham	02/08/17	I'm not coming home 4 dinner.
ham	03/10/17	Thank you. And by the way, I just lost.
ham	23/05/17	Yes.he have good crickiting mind
ham	15/02/17	Thx. All will be well in a few months
spam	09/10/17	Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary
ham	23/07/17	CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO
ham	05/11/17	I wont. So wat's wit the guys
ham	14/01/17	Yavnt tried yet and never played original either
ham	14/11/17	Hiya, had a good day? Have you spoken to since the weekend?
ham	30/08/17	See? I thought it all through
ham	04/05/17	I'm at work. Please call
ham	02/02/17	get ready to moan and scream :)
ham	14/06/17	Oh k :)why you got job then whats up?
ham	28/09/17	I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday
ham	22/02/17	And popping &lt;#&gt; ibuprofens was no help.
ham	30/07/17	Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea
ham	05/08/17	Ok.
ham	08/09/17	PS U no ur a grown up now right?
ham	24/07/17	Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...
ham	29/10/17	I know a few people I can hit up and fuck to the yes
ham	20/08/17	Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
ham	12/07/17	So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck
ham	09/11/17	Oh god. I'm gonna Google nearby cliffs now.
spam	04/05/17	FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF
ham	08/07/17	Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?
ham	12/02/17	Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too. 
ham	30/09/17	Thankyou so much for the call. I appreciate your care.
ham	31/01/17	Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.
ham	25/06/17	I called but no one pick up e phone. I ask both of them already they said ok.
ham	28/01/17	Hi my email address has changed now it is 
ham	29/09/17	"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance"
ham	15/04/17	Not much, just some textin'. How bout you?
ham	18/05/17	Bring it if you got it
ham	16/06/17	I'm in a movie. Call me 4 wat?
ham	08/11/17	Not sure I have the stomach for it ...
ham	24/07/17	Haha... can... But i'm having dinner with my cousin...
ham	24/03/17	"A boy was late 2 home. His father: ""POWER OF FRNDSHIP"""
ham	22/07/17	(And my man carlos is definitely coming by mu tonight, no excuses)
ham	03/02/17	soon you will have the real thing princess! Do i make you wet? :)
ham	28/09/17	Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
ham	04/11/17	Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?
spam	25/03/17	URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM
ham	02/09/17	Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.
spam	12/04/17	URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins
ham	31/05/17	Hmm well, night night 
ham	16/03/17	Just wanted to say holy shit you guys weren't kidding about this bud
ham	12/05/17	Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!
ham	04/01/17	This is one of the days you have a billion classes, right?
ham	07/05/17	Goodmorning, today i am late for 2hrs. Because of back pain.
ham	18/05/17	Ok then i'll let him noe later n ask him call u tmr...
ham	17/07/17	Prabha..i'm soryda..realy..frm heart i'm sory
ham	12/02/17	OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?
ham	26/06/17	* Will have two more cartons off u and is very pleased with shelves
ham	11/01/17	Nice talking to you! please dont forget my pix :) i want to see all of you...
spam	01/07/17	You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p
ham	13/09/17	But really quite funny lor wat... Then u shd haf run shorter distance wat...
ham	04/03/17	I notice you like looking in the shit mirror youre turning into a right freak
ham	01/01/17	Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.
spam	07/10/17	Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120
ham	23/06/17	I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor...
ham	13/06/17	Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx
ham	24/04/17	If you have belive me. Come to my home.
ham	18/07/17	Oh k.k..where did you take test?
ham	13/04/17	Those were my exact intentions
ham	06/06/17	haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
ham	22/03/17	Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...
ham	01/06/17	K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)
ham	01/04/17	Nothing just getting msgs by dis name wit different no's..
ham	18/03/17	Good Morning plz call me sir
ham	09/03/17	What's your room number again? Wanna make sure I'm knocking on the right door
ham	05/03/17	Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also boughtbraindancea comp.ofstuff on aphexs ;abel,u hav2hear it!c u sn xxxx
ham	02/06/17	Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming
ham	05/06/17	Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know.
ham	16/03/17	Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is
ham	14/01/17	Every day i use to sleep after  &lt;#&gt;  so only.
ham	03/07/17	K I'll call you when I'm close
ham	08/01/17	U buy newspapers already?
ham	17/03/17	Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.
ham	09/03/17	Boo I'm on my way to my moms. She's making tortilla soup. Yummmm
ham	25/05/17	No management puzzeles.
ham	28/04/17	How did you find out in a way that didn't include all of these details
spam	29/04/17	Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!
spam	06/09/17	Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL
ham	07/11/17	will you like to be spoiled? :)
spam	30/03/17	Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154
ham	07/08/17	I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.
ham	01/09/17	hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?
ham	08/10/17	Den wat will e schedule b lk on sun?
ham	10/07/17	Lol enjoy role playing much?
ham	17/06/17	Ok. Me watching tv too.
ham	14/06/17	"I just lov this line: ""Hurt me with the truth, I don't mind,i wil tolerat.bcs ur my someone..... But, Never comfort me with a lie"" gud ni8 and sweet dreams"
ham	09/01/17	Just checked out, heading out to drop off my stuff now
ham	30/08/17	Here got lots of hair dresser fr china.
ham	08/02/17	Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham	08/07/17	Ill call you evening ill some ideas.
spam	17/10/17	SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
ham	17/07/17	Did you show him and wot did he say or could u not c him 4 dust?
ham	15/11/17	It should take about  &lt;#&gt;  min
spam	07/01/17	Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham	23/02/17	Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
ham	19/10/17	I cant pick the phone right now. Pls send a message
spam	23/06/17	<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com
ham	11/10/17	Finish liao... U?
spam	04/08/17	88066 FROM 88066 LOST 3POUND HELP
ham	10/01/17	Haha i think i did too
ham	11/02/17	U know we watchin at lido?
ham	06/07/17	Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..
ham	17/09/17	Haha awesome, I've been to 4u a couple times. Who all's coming?
ham	08/03/17	Cold. Dont be sad dear
ham	10/04/17	Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip
ham	17/10/17	Is that on the telly? No its Brdget Jones!
ham	17/07/17	Love you aathi..love u lot..
ham	23/04/17	Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/
ham	07/08/17	Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
ham	02/09/17	Sorry, I'll call later in meeting
ham	08/11/17	R ü comin back for dinner?
ham	14/07/17	I hav almost reached. Call, i m unable to connect u.
ham	18/05/17	Whom you waited for yesterday
ham	05/06/17	I reach home safe n sound liao...
ham	14/08/17	Velly good, yes please!
ham	07/08/17	Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do
ham	14/03/17	I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon
ham	20/07/17	Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8
ham	26/08/17	Dont you have message offer
spam	28/03/17	Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx
ham	18/10/17	HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X.
ham	22/08/17	Remind me how to get there and I shall do so
ham	21/06/17	:-( that's not v romantic!
ham	31/07/17	Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.
spam	25/02/17	You have 1 new message. Please call 08718738034.
ham	15/06/17	HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX
spam	30/08/17	<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches
ham	01/01/17	Draw va?i dont think so:)
ham	08/09/17	Dont pick up d call when something important is There to tell. Hrishi
spam	07/05/17	Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!
ham	20/10/17	Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?
ham	09/06/17	&lt;#&gt; , that's all? Guess that's easy enough
ham	01/03/17	We can make a baby in yo tho
ham	08/01/17	Should I tell my friend not to come round til like  &lt;#&gt; ish?
ham	18/05/17	Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
ham	22/07/17	Still in the area of the restaurant. Ill try to come back soon
ham	27/10/17	Aight that'll work, thanks
spam	24/03/17	WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
spam	02/01/17	Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow
ham	30/04/17	I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?
spam	22/08/17	You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ 
spam	06/01/17	Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.
spam	16/05/17	tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..
ham	02/02/17	So what do you guys do.
ham	14/11/17	Also that chat was awesome but don't make it regular unless you can see her in person
ham	06/03/17	That's significant but dont worry.
ham	09/04/17	That's cause your old. I live to be high.
ham	02/04/17	Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........
ham	31/01/17	On the way to office da..
ham	05/08/17	In which place do you want da.
ham	02/09/17	This pain couldn't have come at a worse time.
ham	30/01/17	Ok...
ham	05/04/17	Should I be stalking u?
ham	29/09/17	Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.
ham	28/10/17	Ok lor.
ham	09/09/17	Apps class varaya elaya.
ham	28/08/17	The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
spam	19/10/17	URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm
ham	03/06/17	That day you asked about anand number. Why:-)
ham	10/08/17	Am surfing online store. For offers do you want to buy any thing.
